rails_session_id	eye	start_event_name	start_event_stimulus_id	stop_event_name	stop_event_stimulus_id	event type	number	start	end	duration	location X	location Y	dispersion X	dispersion Y	avg. pupil size X	avg. pupil size Y
2	left	stimulus_survey	0	stimulus_13165	13165	Fixation L	1	345625401819	345625501661	99842	429.9022	364.2196	5	25	13.37	13.37
2	right	stimulus_survey	0	stimulus_13165	13165	Fixation R	1	345625401819	345625501661	99842	429.9022	364.2196	5	25	13.43	13.43
2	left	stimulus_13165	13165	stimulus_13165	13165	Fixation L	2	345625535243	345625818407	283164	682.6354	216.9152	13	63	13.67	13.67
2	right	stimulus_13165	13165	stimulus_13165	13165	Fixation R	2	345625535243	345625818407	283164	682.6354	216.9152	13	63	13.56	13.56
2	left	stimulus_13165	13165	stimulus_13165	13165	Fixation L	3	345625851633	345625985053	133420	687.8275	-36.8524	7	79	13.67	13.67
2	right	stimulus_13165	13165	stimulus_13165	13165	Fixation R	3	345625851633	345625985053	133420	687.8275	-36.8524	7	79	13.64	13.64
2	left	stimulus_13165	13165	stimulus_13165	13165	Fixation L	4	345626201672	345626385039	183367	410.6571	59.9537	71	27	13.21	13.21
2	right	stimulus_13165	13165	stimulus_13165	13165	Fixation R	4	345626201672	345626385039	183367	410.6571	59.9537	71	27	13.09	13.09
2	left	stimulus_13165	13165	stimulus_13165	13165	Fixation L	5	345626401707	345626518263	116556	372.5346	23.1203	26	69	13.10	13.10
2	right	stimulus_13165	13165	stimulus_13165	13165	Fixation R	5	345626401707	345626518263	116556	372.5346	23.1203	26	69	13.11	13.11
2	left	stimulus_13165	13165	stimulus_13165	13165	Fixation L	6	345626568330	345626834971	266641	632.9483	-9.8715	56	42	13.29	13.29
2	right	stimulus_13165	13165	stimulus_13165	13165	Fixation R	6	345626568330	345626834971	266641	632.9483	-9.8715	56	42	13.33	13.33
2	left	stimulus_13165	13165	stimulus_13165	13165	Fixation L	7	345626851639	345627034986	183347	635.7888	-11.2771	32	65	13.39	13.39
2	right	stimulus_13165	13165	stimulus_13165	13165	Fixation R	7	345626851639	345627034986	183347	635.7888	-11.2771	32	65	13.30	13.30
2	left	stimulus_13165	13165	stimulus_13165	13165	Fixation L	8	345627201695	345627301669	99974	478.3265	12.1337	54	37	13.19	13.19
2	right	stimulus_13165	13165	stimulus_13165	13165	Fixation R	8	345627201695	345627301669	99974	478.3265	12.1337	54	37	13.20	13.20
2	left	stimulus_13165	13165	stimulus_13165	13165	Fixation L	9	345627418253	345627668341	250088	374.8297	36.9305	51	42	13.10	13.10
2	right	stimulus_13165	13165	stimulus_13165	13165	Fixation R	9	345627418253	345627668341	250088	374.8297	36.9305	51	42	13.24	13.24
2	left	stimulus_13165	13165	stimulus_13165	13165	Fixation L	10	345627684925	345628035145	350220	368.9095	138.8414	28	35	13.31	13.31
2	right	stimulus_13165	13165	stimulus_13165	13165	Fixation R	10	345627684925	345628035145	350220	368.9095	138.8414	28	35	13.28	13.28
2	left	stimulus_13165	13165	stimulus_13165	13165	Fixation L	11	345628201762	345628584995	383233	380.0181	149.2662	65	31	13.22	13.22
2	right	stimulus_13165	13165	stimulus_13165	13165	Fixation R	11	345628201762	345628584995	383233	380.0181	149.2662	65	31	13.22	13.22
2	left	stimulus_13165	13165	stimulus_13165	13165	Fixation L	12	345628601546	345628834852	233306	364.4063	153.5092	13	25	13.07	13.07
2	right	stimulus_13165	13165	stimulus_13165	13165	Fixation R	12	345628601546	345628834852	233306	364.4063	153.5092	13	25	13.06	13.06
2	left	stimulus_13165	13165	stimulus_13165	13165	Fixation L	13	345629018141	345629651505	633364	403.2775	132.2818	74	18	13.07	13.07
2	right	stimulus_13165	13165	stimulus_13165	13165	Fixation R	13	345629018141	345629651505	633364	403.2775	132.2818	74	18	13.13	13.13
2	left	stimulus_13165	13165	stimulus_13165	13165	Fixation L	14	345629668269	345630068180	399911	385.0249	154.2238	51	29	13.17	13.17
2	right	stimulus_13165	13165	stimulus_13165	13165	Fixation R	14	345629668269	345630068180	399911	385.0249	154.2238	51	29	13.16	13.16
2	left	stimulus_13165	13165	stimulus_13165	13165	Fixation L	15	345630084782	345630218151	133369	451.3177	151.0924	16	72	13.20	13.20
2	right	stimulus_13165	13165	stimulus_13165	13165	Fixation R	15	345630084782	345630218151	133369	451.3177	151.0924	16	72	13.22	13.22
2	left	stimulus_13165	13165	stimulus_13165	13165	Fixation L	16	345630368187	345630518137	149950	474.4289	131.5918	37	42	13.42	13.42
