text_id, 10879, 11299, 13165, 2725, 322, 3819, 4504, 4701, 6474
10879, 0.0, 0.079939668, 0.090602036, 0.154485636, 0.065606547, 0.092764028, 0.098273572, 0.154309884, 0.04377012
11299, 0.079939668, 0.0, 0.054443937, 0.175025544, 0.085465387, 0.041984077, 0.074777812, 0.189765207, 0.07239819
13165, 0.090602036, 0.054443937, 0.0, 0.177005031, 0.087884764, 0.043374753, 0.062191601, 0.188775663, 0.100647598
2725, 0.154485636, 0.175025544, 0.177005031, 0.0, 0.121223998, 0.161671431, 0.199357409, 0.096763686, 0.140109108
322, 0.065606547, 0.085465387, 0.087884764, 0.121223998, 0.0, 0.090204661, 0.109226645, 0.137005693, 0.06177845
3819, 0.092764028, 0.041984077, 0.043374753, 0.161671431, 0.090204661, 0.0, 0.069746331, 0.190285738, 0.072629685
4504, 0.098273572, 0.074777812, 0.062191601, 0.199357409, 0.109226645, 0.069746331, 0.0, 0.211492791, 0.106236817
4701, 0.154309884, 0.189765207, 0.188775663, 0.096763686, 0.137005693, 0.190285738, 0.211492791, 0.0, 0.145981031
6474, 0.04377012, 0.07239819, 0.100647598, 0.140109108, 0.06177845, 0.072629685, 0.106236817, 0.145981031, 0.0
