rails_session_id	eye	start_event_name	start_event_stimulus_id	stop_event_name	stop_event_stimulus_id	event type	number	start	end	duration	location X	location Y	dispersion X	dispersion Y	avg. pupil size X	avg. pupil size Y
4	left	stimulus_survey	0	stimulus_6366	6366	Fixation L	1	355637430544	355637905049	474505	593.8458	216.2734	6	91	8.65	8.65
4	right	stimulus_survey	0	stimulus_6366	6366	Fixation R	1	355637430544	355637905049	474505	593.8458	216.2734	6	91	8.77	8.77
4	left	stimulus_6366	6366	stimulus_6366	6366	Fixation L	2	355637947044	355638297034	349990	390.8976	119.1577	54	41	8.72	8.72
4	right	stimulus_6366	6366	stimulus_6366	6366	Fixation R	2	355637947044	355638297034	349990	390.8976	119.1577	54	41	8.69	8.69
4	left	stimulus_6366	6366	stimulus_6366	6366	Fixation L	3	355638313719	355638513739	200020	361.6896	81.5977	56	25	8.61	8.61
4	right	stimulus_6366	6366	stimulus_6366	6366	Fixation R	3	355638313719	355638513739	200020	361.6896	81.5977	56	25	8.62	8.62
4	left	stimulus_6366	6366	stimulus_6366	6366	Fixation L	4	355638663670	355638946926	283256	411.3137	37.939	37	40	8.57	8.57
4	right	stimulus_6366	6366	stimulus_6366	6366	Fixation R	4	355638663670	355638946926	283256	411.3137	37.939	37	40	8.79	8.79
4	left	stimulus_6366	6366	stimulus_6366	6366	Fixation L	5	355638963469	355639430345	466876	530.655	43.5108	65	16	8.63	8.63
4	right	stimulus_6366	6366	stimulus_6366	6366	Fixation R	5	355638963469	355639430345	466876	530.655	43.5108	65	16	8.92	8.92
4	left	stimulus_6366	6366	stimulus_6366	6366	Fixation L	6	355639446893	355639547606	100713	594.928	43.7476	52	41	8.56	8.56
4	right	stimulus_6366	6366	stimulus_6366	6366	Fixation R	6	355639446893	355639547606	100713	594.928	43.7476	52	41	8.77	8.77
4	left	stimulus_6366	6366	stimulus_6366	6366	Fixation L	7	355639567586	355640069757	502171	-2	-90.6998	2	91	11.01	9.29
4	right	stimulus_6366	6366	stimulus_6366	6366	Fixation R	7	355639567586	355640069757	502171	-2	-90.6998	2	91	8.38	8.38
4	left	stimulus_6366	6366	stimulus_6366	6366	Fixation L	8	355641354877	355641771275	416398	783.2114	43.1728	54	41	9.14	9.14
4	right	stimulus_6366	6366	stimulus_6366	6366	Fixation R	8	355641354877	355641771275	416398	783.2114	43.1728	54	41	9.53	9.53
4	left	stimulus_6366	6366	stimulus_6366	6366	Fixation L	9	355641787980	355642905190	1117210	842.2952	57.1499	59	24	8.95	8.95
4	right	stimulus_6366	6366	stimulus_6366	6366	Fixation R	9	355641787980	355642905190	1117210	842.2952	57.1499	59	24	9.29	9.29
4	left	stimulus_6366	6366	stimulus_6366	6366	Fixation L	10	355642921297	355643138320	217023	849.3793	37.1319	87	11	9.01	9.01
4	right	stimulus_6366	6366	stimulus_6366	6366	Fixation R	10	355642921297	355643138320	217023	849.3793	37.1319	87	11	9.43	9.43
4	left	stimulus_6366	6366	stimulus_6366	6366	Fixation L	11	355643154525	355643371254	216729	906.4199	33.6706	14	16	9.15	9.15
4	right	stimulus_6366	6366	stimulus_6366	6366	Fixation R	11	355643154525	355643371254	216729	906.4199	33.6706	14	16	9.53	9.53
4	left	stimulus_6366	6366	stimulus_6366	6366	Fixation L	12	355643437964	355644004721	566757	367.5893	82.7047	43	52	9.11	9.11
4	right	stimulus_6366	6366	stimulus_6366	6366	Fixation R	12	355643437964	355644004721	566757	367.5893	82.7047	43	52	9.38	9.38
4	left	stimulus_6366	6366	stimulus_6366	6366	Fixation L	13	355644021358	355644354517	333159	386.9748	87.3301	77	21	8.77	8.77
4	right	stimulus_6366	6366	stimulus_6366	6366	Fixation R	13	355644021358	355644354517	333159	386.9748	87.3301	77	21	9.10	9.10
