rails_session_id	eye	start_event_name	start_event_stimulus_id	stop_event_name	stop_event_stimulus_id	event type	number	start	end	duration	location X	location Y	dispersion X	dispersion Y	avg. pupil size X	avg. pupil size Y
14	left	stimulus_4094	4094	stimulus_4094	4094	Fixation L	1	4610644967	4616196357	5551390	-2	-90.9346	2	91	10.81	10.81
14	right	stimulus_4094	4094	stimulus_4094	4094	Fixation R	1	4610644967	4616196357	5551390	-2	-90.9346	2	91	11.82	11.82
14	left	stimulus_4094	4094	stimulus_4094	4094	Fixation L	2	4616261299	4623560934	7299635	-2	-91.0299	2	92	11.22	11.22
14	right	stimulus_4094	4094	stimulus_4094	4094	Fixation R	2	4616261299	4621477727	5216428	-2	-91.0418	2	92	11.95	11.95
14	right	stimulus_4094	4094	stimulus_4094	4094	Fixation R	3	4621527796	4624244249	2716453	-2	-91	2	91	12.24	12.24
14	left	stimulus_4094	4094	stimulus_4094	4094	Fixation L	3	4623627669	4624544264	916595	-2	-91	2	91	11.40	11.30
14	right	stimulus_4094	4094	stimulus_4094	4094	Fixation R	4	4624344299	4624977603	633304	-2	-91	2	91	11.58	11.58
14	left	stimulus_4094	4094	stimulus_4094	4094	Fixation L	4	4624577646	4625810977	1233331	-2	-91	2	91	10.58	10.58
14	right	stimulus_4094	4094	stimulus_4094	4094	Fixation R	5	4625027559	4625127531	99972	-2	-91	2	91	8.50	8.50
14	right	stimulus_4094	4094	stimulus_4094	4094	Fixation R	6	4625260829	4625560820	299991	-2	-91	2	91	10.85	10.85
14	right	stimulus_4094	4094	stimulus_4094	4094	Fixation R	7	4625610965	4625810977	200012	-2	-91	2	91	9.97	9.66
14	right	stimulus_4094	4094	stimulus_4094	4094	Fixation R	8	4625877442	4626927547	1050105	-2	-91	2	91	11.23	11.23
14	left	stimulus_4094	4094	stimulus_4094	4094	Fixation L	5	4625910876	4627477474	1566598	-2	-91	2	91	11.31	11.31
14	right	stimulus_4094	4094	stimulus_4094	4094	Fixation R	9	4626960683	4627477474	516791	-2	-91	2	91	12.49	12.49
14	left	stimulus_4094	4094	stimulus_4094	4094	Fixation L	6	4627510758	4627760699	249941	-2	-90.059	2	91	17.82	17.82
14	right	stimulus_4094	4094	stimulus_4094	4094	Fixation R	10	4627510758	4629743962	2233204	-2	-90.8885	2	91	12.19	12.19
14	left	stimulus_4094	4094	stimulus_4094	4094	Fixation L	7	4627997187	4628797170	799983	-2	-91	2	91	12.13	12.13
14	left	stimulus_4094	4094	stimulus_4094	4094	Fixation L	8	4629027412	4629677309	649897	-2	-91	2	91	11.15	11.15
14	right	stimulus_4094	4094	stimulus_4094	4094	Fixation R	11	4629777353	4630010641	233288	-2	-91	2	91	14.20	14.20
14	left	stimulus_4094	4094	stimulus_4094	4094	Fixation L	9	4629827430	4630196535	369105	-2	-91	2	91	11.10	11.06
14	right	stimulus_4094	4094	stimulus_4094	4094	Fixation R	12	4630110628	4631160581	1049953	-2	-91	2	91	12.73	12.73
14	left	stimulus_4094	4094	stimulus_4094	4094	Fixation L	10	4631210597	4632196672	986075	-2	-91	2	91	12.25	12.23
14	right	stimulus_4094	4094	stimulus_4094	4094	Fixation R	13	4631210597	4632196672	986075	-2	-91	2	91	14.04	14.04
14	left	stimulus_4094	4094	stimulus_4094	4094	Fixation L	11	4632310501	4632410498	99997	-2	-91.1669	2	91	12.25	12.25
14	right	stimulus_4094	4094	stimulus_4094	4094	Fixation R	14	4632310501	4632410498	99997	-2	-91.1669	2	91	12.98	12.98
