rails_session_id	eye	start_event_name	start_event_stimulus_id	stop_event_name	stop_event_stimulus_id	event type	number	start	end	duration	location X	location Y	dispersion X	dispersion Y	avg. pupil size X	avg. pupil size Y
1	right	stimulus_4701	4701	stimulus_4701	4701	Fixation	R	1	163270540061	163270706242	166181	843.9310244444445	233.52403142857145	22.636015866382202	22.636015866382202	3.2339833333333337	3.2339833333333337
1	right	stimulus_4701	4701	stimulus_4701	4701	Fixation	R	2	163270756331	163270872975	116644	712.4332328571429	239.6104335714286	11.211437329866378	11.211437329866378	3.25928125	3.25928125
1	right	stimulus_4701	4701	stimulus_4701	4701	Fixation	R	3	163270939501	163271072905	133404	383.0722368253968	104.8622615873016	20.566668372931854	20.566668372931854	3.189366666666667	3.189366666666667
1	right	stimulus_4701	4701	stimulus_4701	4701	Fixation	R	4	163271739502	163271906428	166926	567.2577880519481	108.9835864935065	17.70974846844587	17.70974846844587	3.0029383116883115	3.0029383116883115
1	right	stimulus_4701	4701	stimulus_4701	4701	Fixation	R	5	163272056239	163272206138	149899	375.9578105714286	154.39970257142858	18.17139401759715	18.17139401759715	3.05696	3.05696
1	right	stimulus_4701	4701	stimulus_4701	4701	Fixation	R	6	163272239495	163272372806	133311	365.1399577777778	109.80133142857143	15.7606427880205	15.7606427880205	3.104311111111111	3.104311111111111
1	right	stimulus_4701	4701	stimulus_4701	4701	Fixation	R	7	163273156211	163273256254	100043	442.05195591836736	97.85819591836734	17.968665671428948	17.968665671428948	3.122557142857143	3.122557142857143
1	right	stimulus_4701	4701	stimulus_4701	4701	Fixation	R	8	163273289484	163273422710	133226	474.59645555555556	126.11473777777779	18.08728309009861	18.08728309009861	3.139811111111111	3.139811111111111
1	right	stimulus_4701	4701	stimulus_4701	4701	Fixation	R	9	163273461300	163273872788	411488	497.92776483516485	148.01119065934066	25.73285680653815	25.73285680653815	3.064482692307692	3.064482692307692
1	right	stimulus_4701	4701	stimulus_4701	4701	Fixation	R	10	163273906157	163274106220	200063	543.0919855494506	152.1478039010989	18.549790592851497	18.549790592851497	3.051549038461538	3.051549038461538
1	right	stimulus_4701	4701	stimulus_4701	4701	Fixation	R	11	163274139506	163274363596	224090	554.6482565816326	134.41594750000002	16.69167499600264	16.69167499600264	3.0911062499999997	3.0911062499999997
1	right	stimulus_4701	4701	stimulus_4701	4701	Fixation	R	12	163274389828	163274639366	249538	598.8622155357143	132.707875	19.54542874746019	19.54542874746019	3.1829656250000005	3.1829656250000005
1	right	stimulus_4701	4701	stimulus_4701	4701	Fixation	R	13	163274672800	163274822714	149914	574.1350942857143	120.53107285714287	22.57023832523101	22.57023832523101	3.147955	3.147955
1	right	stimulus_4701	4701	stimulus_4701	4701	Fixation	R	14	163274856245	163275056121	199876	599.0360272527473	134.92200351648353	25.489771409139795	25.489771409139795	3.097946153846154	3.097946153846154
1	right	stimulus_4701	4701	stimulus_4701	4701	Fixation	R	15	163275089437	163275256097	166660	553.3495877922078	134.4857561038961	8.474822562971735	8.474822562971735	3.1132727272727267	3.1132727272727267
1	right	stimulus_4701	4701	stimulus_4701	4701	Fixation	R	16	163275289442	163275639356	349914	676.7093861038961	135.61912792207792	19.700208906971184	19.700208906971184	3.1557568181818185	3.1557568181818185
1	right	stimulus_4701	4701	stimulus_4701	4701	Fixation	R	17	163275672674	163275806012	133338	671.6698193650793	143.65475523809525	28.2650749342144	28.2650749342144	3.16335	3.16335
1	right	stimulus_4701	4701	stimulus_4701	4701	Fixation	R	18	163275839251	163276039298	200047	719.343235970696	141.0641082051282	23.3664018973685	23.3664018973685	3.14185641025641	3.14185641025641
1	right	stimulus_4701	4701	stimulus_4701	4701	Fixation	R	19	163276072610	163276189507	116897	777.2063686419752	122.71630024691358	21.5384182574854	21.5384182574854	3.244066049382716	3.244066049382716
1	right	stimulus_4701	4701	stimulus_4701	4701	Fixation	R	20	163276222605	163276705859	483254	780.2691080000001	145.7063798095238	27.68464222270972	27.68464222270972	3.082466666666667	3.082466666666667
1	right	stimulus_4701	4701	stimulus_4701	4701	Fixation	R	21	163276739256	163277305893	566637	853.635822367347	128.42527102040816	22.102341501792246	22.102341501792246	2.983807142857143	2.983807142857143
1	right	stimulus_4701	4701	stimulus_4701	4701	Fixation	R	22	163277339234	163277539258	200024	728.6158615384616	138.32323406593406	12.091125722998768	12.091125722998768	3.02275	3.02275
1	right	stimulus_4701	4701	stimulus_4701	4701	Fixation	R	23	163277572614	163277822462	249848	657.8570048214286	137.94648660714287	17.558905558595495	17.558905558595495	3.0634593750000003	3.0634593750000003
1	right	stimulus_4701	4701	stimulus_4701	4701	Fixation	R	24	163277873587	163277989357	115770	883.3416325000001	123.40068964285716	21.644330953287614	21.644330953287614	3.0736624999999997	3.0736624999999997
1	right	stimulus_4701	4701	stimulus_4701	4701	Fixation	R	25	163278022483	163278389193	366710	843.4932681987578	127.72192695652174	24.95630325065352	24.95630325065352	3.054304347826088	3.054304347826088
1	right	stimulus_4701	4701	stimulus_4701	4701	Fixation	R	26	163278422480	163278659861	237381	575.5158192380952	133.78789600000002	28.17927503638754	28.17927503638754	3.073306666666667	3.073306666666667
1	right	stimulus_4701	4701	stimulus_4701	4701	Fixation	R	27	163278689186	163278822458	133272	514.2457996825397	129.2643146031746	31.78221088093239	31.78221088093239	3.0885499999999997	3.0885499999999997
1	right	stimulus_4701	4701	stimulus_4701	4701	Fixation	R	28	163278856036	163279022442	166406	500.58785168831173	133.18519298701298	12.616097828331002	12.616097828331002	3.0820681818181814	3.0820681818181814
1	right	stimulus_4701	4701	stimulus_4701	4701	Fixation	R	29	163279160079	163279272592	112513	835.2441864285714	105.76947714285714	23.603916730658504	23.603916730658504	2.9960937499999996	2.9960937499999996
1	right	stimulus_4701	4701	stimulus_4701	4701	Fixation	R	30	163279355931	163279472496	116565	845.1793410714287	120.78579500000001	35.09892466830399	35.09892466830399	2.94250625	2.94250625
1	right	stimulus_4701	4701	stimulus_4701	4701	Fixation	R	31	163279505784	163279722461	216677	857.5928912244898	120.15477979591837	23.10460587041429	23.10460587041429	2.9300571428571436	2.9300571428571436
1	right	stimulus_4701	4701	stimulus_4701	4701	Fixation	R	32	163279789547	163280122345	332798	351.15182149659864	130.90899469387756	23.162728699289524	23.162728699289524	2.8874095238095236	2.8874095238095236
1	right	stimulus_4701	4701	stimulus_4701	4701	Fixation	R	33	163280160880	163280439123	278243	324.14917920634923	135.97031	23.33029455145498	23.33029455145498	2.8417083333333335	2.8417083333333335
1	right	stimulus_4701	4701	stimulus_4701	4701	Fixation	R	34	163280472411	163280772423	300012	423.90800496240604	146.95398135338345	23.013390302671535	23.013390302671535	2.8490605263157898	2.8490605263157898
1	right	stimulus_4701	4701	stimulus_4701	4701	Fixation	R	35	163280889075	163281222386	333311	563.6267032653061	157.81151346938776	20.7274985470738	20.7274985470738	2.9637504761904756	2.9637504761904756
1	right	stimulus_4701	4701	stimulus_4701	4701	Fixation	R	36	163281255724	163281389055	133331	608.7733571428572	158.9475422857143	24.172263575283676	24.172263575283676	3.024967	3.024967
1	right	stimulus_4701	4701	stimulus_4701	4701	Fixation	R	37	163281422336	163281589136	166800	642.6032836363636	156.77559792207794	28.310293830513622	28.310293830513622	3.0327909090909086	3.0327909090909086
1	right	stimulus_4701	4701	stimulus_4701	4701	Fixation	R	38	163281622346	163281805657	183311	688.2589569047619	165.9486361904762	16.039215953370586	16.039215953370586	3.031454166666667	3.031454166666667
1	right	stimulus_4701	4701	stimulus_4701	4701	Fixation	R	39	163281839031	163281972300	133269	752.5554487301587	156.20470277777778	20.150018148184383	20.150018148184383	3.0037222222222217	3.0037222222222217
1	right	stimulus_4701	4701	stimulus_4701	4701	Fixation	R	40	163282072419	163282322199	249780	790.5525185714285	152.2975285714286	26.322252787856733	26.322252787856733	3.0101031249999997	3.0101031249999997
1	right	stimulus_4701	4701	stimulus_4701	4701	Fixation	R	41	163282422223	163282689069	266846	843.6137484033613	142.0024885714286	27.268828556011783	27.268828556011783	3.002164705882353	3.002164705882353
1	right	stimulus_4701	4701	stimulus_4701	4701	Fixation	R	42	163282722240	163282938999	216759	866.1706120408163	146.49777469387755	18.096582348795774	18.096582348795774	2.9481178571428575	2.9481178571428575
1	right	stimulus_4701	4701	stimulus_4701	4701	Fixation	R	43	163283072317	163283188948	116631	365.4376185714286	202.337465	18.383860443044103	18.383860443044103	2.9726500000000002	2.9726500000000002
1	right	stimulus_4701	4701	stimulus_4701	4701	Fixation	R	44	163283238868	163283338896	100028	384.39059020408166	256.91285795918367	18.60841427854861	18.60841427854861	2.979614285714286	2.979614285714286
1	right	stimulus_4701	4701	stimulus_4701	4701	Fixation	R	45	163283372328	163283589169	216841	415.1796526530612	275.60559265306125	18.129813751699274	18.129813751699274	3.0096714285714286	3.0096714285714286
1	right	stimulus_4701	4701	stimulus_4701	4701	Fixation	R	46	163283755804	163283972283	216479	473.5892857142857	185.17946448979592	15.830954551762312	15.830954551762312	3.201878571428572	3.201878571428572
1	right	stimulus_4701	4701	stimulus_4701	4701	Fixation	R	47	163284105498	163284372310	266812	520.6850991596639	131.23977344537815	24.085270621198003	24.085270621198003	3.373958823529412	3.373958823529412
1	right	stimulus_4701	4701	stimulus_4701	4701	Fixation	R	48	163284405487	163284888942	483455	532.4467968571429	119.00093238095238	21.549207181660822	21.549207181660822	3.3729033333333334	3.3729033333333334
1	right	stimulus_4701	4701	stimulus_4701	4701	Fixation	R	49	163284922082	163285055658	133576	569.5498342857143	151.8632892063492	18.455336452518022	18.455336452518022	3.3185722222222225	3.3185722222222225
1	right	stimulus_4701	4701	stimulus_4701	4701	Fixation	R	50	163285088942	163285305514	216572	594.3749482653062	180.00853540816328	18.391916216387227	18.391916216387227	3.3168250000000006	3.3168250000000006
1	right	stimulus_4701	4701	stimulus_4701	4701	Fixation	R	51	163285455701	163285672205	216504	645.9179614285714	161.58444673469387	29.620652103634587	29.620652103634587	3.3175285714285714	3.3175285714285714
1	right	stimulus_4701	4701	stimulus_4701	4701	Fixation	R	52	163285705486	163285938754	233268	680.4060921904762	168.11845638095238	20.875451409063313	20.875451409063313	3.392748095238095	3.392748095238095
1	right	stimulus_4701	4701	stimulus_4701	4701	Fixation	R	53	163286072204	163286222107	149903	728.8512802857143	162.53070257142858	24.341241355386742	24.341241355386742	3.294819999999999	3.294819999999999
1	right	stimulus_4701	4701	stimulus_4701	4701	Fixation	R	54	163286255861	163286372615	116754	762.4864425	168.44494607142857	23.47372056891304	23.47372056891304	3.27513125	3.27513125
1	right	stimulus_4701	4701	stimulus_4701	4701	Fixation	R	55	163286405521	163286705396	299875	786.8448711278196	167.51249443609024	21.000214193590725	21.000214193590725	3.2714289473684217	3.2714289473684217
1	right	stimulus_4701	4701	stimulus_4701	4701	Fixation	R	56	163286738758	163287255867	517109	835.3646510476191	162.29691504761905	25.210373430533814	25.210373430533814	3.225293333333334	3.225293333333334
1	right	stimulus_4701	4701	stimulus_4701	4701	Fixation	R	57	163287288822	163287421960	133138	888.6582304761906	157.4957380952381	17.444809794210506	17.444809794210506	3.2428444444444446	3.2428444444444446
1	right	stimulus_4701	4701	stimulus_4701	4701	Fixation	R	58	163287488960	163287738748	249788	357.1771614285714	187.68311892857145	16.432334682955346	16.432334682955346	3.2110031250000004	3.2110031250000004
1	right	stimulus_4701	4701	stimulus_4701	4701	Fixation	R	59	163287772022	163287888858	116836	383.2552632142857	192.05825535714288	19.005300347642528	19.005300347642528	3.1976607142857145	3.1976607142857145
