rails_session_id	eye	start_event_name	start_event_stimulus_id	stop_event_name	stop_event_stimulus_id	event type	number	start	end	duration	location X	location Y	dispersion X	dispersion Y	avg. pupil size X	avg. pupil size Y
1	right	stimulus_6046	6046	stimulus_6046	6046	Fixation	R	1	4808308342	4808674491	366149	385.595375	61.4918125	20.497488563865133	20.497488563865133	3.09663125	3.09663125
1	right	stimulus_6046	6046	stimulus_6046	6046	Fixation	R	2	4811807678	4811924664	116986	362.5457875	73.50445	26.082666746762225	26.082666746762225	3.0417875	3.0417875
1	right	stimulus_6046	6046	stimulus_6046	6046	Fixation	R	3	4811957561	4812125226	167665	341.0413454545455	54.24779090909091	14.514452721977237	14.514452721977237	3.009327272727273	3.009327272727273
1	right	stimulus_6046	6046	stimulus_6046	6046	Fixation	R	4	4812157578	4812374381	216803	408.1688571428571	43.28510714285714	9.60027890274336	9.60027890274336	2.989657142857142	2.989657142857142
1	right	stimulus_6046	6046	stimulus_6046	6046	Fixation	R	5	4812440978	4812541032	100054	479.79567142857144	51.0132	29.242908125574928	29.242908125574928	2.9563428571428574	2.9563428571428574
1	right	stimulus_6046	6046	stimulus_6046	6046	Fixation	R	6	4812640995	4812840966	199971	552.9542538461538	75.05483846153847	19.87721406062905	19.87721406062905	2.9290884615384623	2.9290884615384623
1	right	stimulus_6046	6046	stimulus_6046	6046	Fixation	R	7	4812874299	4813007717	133418	613.8652666666667	82.57732222222222	18.772125889243526	18.772125889243526	2.9376777777777776	2.9376777777777776
1	right	stimulus_6046	6046	stimulus_6046	6046	Fixation	R	8	4813340979	4813707681	366702	619.152052173913	90.33689130434783	21.39842619439916	21.39842619439916	2.9972652173913046	2.9972652173913046
1	right	stimulus_6046	6046	stimulus_6046	6046	Fixation	R	9	4813740878	4813874295	133417	386.92044444444446	70.42066666666666	14.361702467278802	14.361702467278802	3.0042	3.0042
1	right	stimulus_6046	6046	stimulus_6046	6046	Fixation	R	10	4813907697	4814408494	500797	337.4010064516129	51.06587741935484	27.68005232171956	27.68005232171956	2.9328887096774197	2.9328887096774197
1	right	stimulus_6046	6046	stimulus_6046	6046	Fixation	R	11	4814440860	4814557472	116612	385.5388375	41.25665	24.365399458020512	24.365399458020512	2.934975	2.934975
1	right	stimulus_6046	6046	stimulus_6046	6046	Fixation	R	12	4814591103	4814791035	199932	438.85133076923074	38.69145384615385	14.165628688130974	14.165628688130974	2.9069115384615385	2.9069115384615385
1	right	stimulus_6046	6046	stimulus_6046	6046	Fixation	R	13	4814824588	4814996344	171756	517.7743454545455	49.6577	20.991366906622034	20.991366906622034	2.896831818181818	2.896831818181818
1	right	stimulus_6046	6046	stimulus_6046	6046	Fixation	R	14	4815024338	4815157453	133115	564.8949444444445	58.089055555555554	23.99357529267078	23.99357529267078	2.8774611111111112	2.8774611111111112
1	right	stimulus_6046	6046	stimulus_6046	6046	Fixation	R	15	4815196681	4815396860	200179	619.0829076923077	71.17378461538462	15.53706341270115	15.53706341270115	2.8561769230769234	2.8561769230769234
1	right	stimulus_6046	6046	stimulus_6046	6046	Fixation	R	16	4815424452	4815657453	233001	691.6671466666667	66.10466	17.08025816178172	17.08025816178172	2.8660533333333333	2.8660533333333333
1	right	stimulus_6046	6046	stimulus_6046	6046	Fixation	R	17	4815696537	4815790970	94433	798.7306	62.94652857142857	4.0184111749317335	4.0184111749317335	2.8555928571428573	2.8555928571428573
1	right	stimulus_6046	6046	stimulus_6046	6046	Fixation	R	18	4815957439	4816097546	140107	407.3799666666667	53.25534444444445	7.713059782370432	7.713059782370432	2.7796888888888893	2.7796888888888893
1	right	stimulus_6046	6046	stimulus_6046	6046	Fixation	R	19	4816124284	4816257441	133157	358.5822111111111	41.37703333333333	19.812884952309588	19.812884952309588	2.7605055555555555	2.7605055555555555
1	right	stimulus_6046	6046	stimulus_6046	6046	Fixation	R	20	4820196638	4820376886	180248	441.27094	15.76496	22.993798444084874	22.993798444084874	2.763305	2.763305
1	right	stimulus_6046	6046	stimulus_6046	6046	Fixation	R	21	4820426938	4820610269	183331	403.38214166666666	20.022116666666665	20.843685221516886	20.843685221516886	2.765608333333333	2.765608333333333
1	right	stimulus_6046	6046	stimulus_6046	6046	Fixation	R	22	4823126806	4823343388	216582	364.59705	8.38904	13.183915342875194	13.183915342875194	2.874265	2.874265
1	right	stimulus_6046	6046	stimulus_6046	6046	Fixation	R	23	4823443401	4823643376	199975	445.43040833333333	12.165741666666667	9.525440881404856	9.525440881404856	2.906904166666667	2.906904166666667
1	right	stimulus_6046	6046	stimulus_6046	6046	Fixation	R	24	4823976749	4824110069	133320	930.57595	12.24035	19.625449000341348	19.625449000341348	2.8808124999999998	2.8808124999999998
1	right	stimulus_6046	6046	stimulus_6046	6046	Fixation	R	25	4824359958	4824559955	199997	354.84771538461536	46.43357692307692	14.904046464093108	14.904046464093108	2.9032423076923077	2.9032423076923077
1	right	stimulus_6046	6046	stimulus_6046	6046	Fixation	R	26	4824593491	4824759951	166460	451.96914545454547	47.54429090909091	9.14809340416022	9.14809340416022	2.897831818181819	2.897831818181819
1	right	stimulus_6046	6046	stimulus_6046	6046	Fixation	R	27	4824793465	4824943345	149880	545.86054	74.59157	13.596042581152048	13.596042581152048	2.903244999999999	2.903244999999999
1	right	stimulus_6046	6046	stimulus_6046	6046	Fixation	R	28	4824976692	4825126946	150254	629.5568099999999	90.67249	15.873661677262831	15.873661677262831	2.8615850000000003	2.8615850000000003
1	right	stimulus_6046	6046	stimulus_6046	6046	Fixation	R	29	4825159948	4825376634	216686	708.6474785714286	106.65798571428572	13.54817180631841	13.54817180631841	2.8332249999999997	2.8332249999999997
1	right	stimulus_6046	6046	stimulus_6046	6046	Fixation	R	30	4825643395	4825843271	199876	618.3850384615384	115.77103846153847	9.573574433980223	9.573574433980223	2.8202384615384615	2.8202384615384615
1	right	stimulus_6046	6046	stimulus_6046	6046	Fixation	R	31	4825897594	4826026915	129321	839.2397888888889	70.92793333333333	20.976185601987154	20.976185601987154	2.8904666666666667	2.8904666666666667
1	right	stimulus_6046	6046	stimulus_6046	6046	Fixation	R	32	4826059971	4826243268	183297	881.2703333333334	55.606141666666666	25.339431376996497	25.339431376996497	2.9203833333333336	2.9203833333333336
1	right	stimulus_6046	6046	stimulus_6046	6046	Fixation	R	33	4826276619	4826376644	100025	801.2267	71.45932857142857	12.019650355419216	12.019650355419216	2.9198785714285713	2.9198785714285713
1	right	stimulus_6046	6046	stimulus_6046	6046	Fixation	R	34	4826410022	4826559843	149821	917.41057	61.62384	10.69660914657069	10.69660914657069	2.9062099999999997	2.9062099999999997
1	right	stimulus_6046	6046	stimulus_6046	6046	Fixation	R	35	4826609937	4826726706	116769	351.4275125	93.35355	26.940853671239864	26.940853671239864	2.92613125	2.92613125
1	right	stimulus_6046	6046	stimulus_6046	6046	Fixation	R	36	4826759863	4826876632	116769	344.11402499999997	100.2559625	2.4134843291455823	2.4134843291455823	2.9721875000000004	2.9721875000000004
1	right	stimulus_6046	6046	stimulus_6046	6046	Fixation	R	37	4826926686	4827096030	169344	517.3030636363636	84.24937272727273	10.171111394589897	10.171111394589897	3.013259090909091	3.013259090909091
1	right	stimulus_6046	6046	stimulus_6046	6046	Fixation	R	38	4827126714	4827293326	166612	620.5330545454545	88.07346363636364	4.80587533344983	4.80587533344983	3.0328500000000003	3.0328500000000003
1	right	stimulus_6046	6046	stimulus_6046	6046	Fixation	R	39	4827326712	4827459820	133108	698.2405777777777	88.52633333333333	10.12961096727165	10.12961096727165	3.0474444444444444	3.0474444444444444
1	right	stimulus_6046	6046	stimulus_6046	6046	Fixation	R	40	4827496269	4827909941	413672	792.8338307692308	81.57240769230769	6.089723632879573	6.089723632879573	3.0649519230769218	3.0649519230769218
1	right	stimulus_6046	6046	stimulus_6046	6046	Fixation	R	41	4827943267	4828043263	99996	706.2706142857143	92.27785714285714	18.801972027971285	18.801972027971285	3.043857142857143	3.043857142857143
1	right	stimulus_6046	6046	stimulus_6046	6046	Fixation	R	42	4828110019	4828396631	286612	889.6977777777778	55.71231111111111	22.82465269981745	22.82465269981745	3.0345166666666668	3.0345166666666668
1	right	stimulus_6046	6046	stimulus_6046	6046	Fixation	R	43	4828426759	4828659844	233085	927.2093071428571	62.622957142857146	29.232188098037224	29.232188098037224	3.0489464285714285	3.0489464285714285
1	right	stimulus_6046	6046	stimulus_6046	6046	Fixation	R	44	4828696472	4828793320	96848	940.3873714285714	56.211757142857145	6.4218087969108835	6.4218087969108835	3.0149999999999997	3.0149999999999997
1	right	stimulus_6046	6046	stimulus_6046	6046	Fixation	R	45	4828826576	4828959828	133252	885.2283666666667	46.11286666666667	17.85818310436105	17.85818310436105	2.9883555555555557	2.9883555555555557
1	right	stimulus_6046	6046	stimulus_6046	6046	Fixation	R	46	4829009814	4829209838	200024	469.9609	89.1818076923077	25.86995849188009	25.86995849188009	2.9874153846153844	2.9874153846153844
1	right	stimulus_6046	6046	stimulus_6046	6046	Fixation	R	47	4829259727	4829396838	137111	551.0756	91.51278888888889	7.738675786816279	7.738675786816279	3.01545	3.01545
