text_id, portion of pairs with p < alpha0.05
1,0.903061224
2,0.831632653
3,0.882653061
4,0.839285714
5,0.81122449
6,0.869897959
7,0.913265306
8,0.890306122
9,0.887755102
10,0.87755102
11,0.885204082
12,0.869897959
13,0.844387755
14,0.880102041
15,0.869897959
16,0.900510204
17,0.875
18,0.841836735
