rails_session_id	eye	start_event_name	start_event_stimulus_id	stop_event_name	stop_event_stimulus_id	event type	number	start	end	duration	location X	location Y	dispersion X	dispersion Y	avg. pupil size X	avg. pupil size Y
27	left	stimulus_survey	0	stimulus_10879	10879	Fixation L	1	163345302558	163345386002	83444	657.6607	294.3196	5	4	11.95	11.95
27	right	stimulus_survey	0	stimulus_10879	10879	Fixation R	1	163345302558	163345386002	83444	657.6607	294.3196	5	4	11.64	11.64
27	left	stimulus_10879	10879	stimulus_10879	10879	Fixation L	2	163345402843	163345586020	183177	660.6651	194.7691	34	32	11.81	11.81
27	right	stimulus_10879	10879	stimulus_10879	10879	Fixation R	2	163345402843	163345586020	183177	660.6651	194.7691	34	32	11.46	11.46
27	left	stimulus_10879	10879	stimulus_10879	10879	Fixation L	3	163345602467	163345735762	133295	724.2265	127.297	19	24	11.64	11.64
27	right	stimulus_10879	10879	stimulus_10879	10879	Fixation R	3	163345602467	163345735762	133295	724.2265	127.297	19	24	11.42	11.42
27	left	stimulus_10879	10879	stimulus_10879	10879	Fixation L	4	163345769181	163345969239	200058	412.8217	113.9295	11	7	11.65	11.65
27	right	stimulus_10879	10879	stimulus_10879	10879	Fixation R	4	163345769181	163345969239	200058	412.8217	113.9295	11	7	11.07	11.07
27	left	stimulus_10879	10879	stimulus_10879	10879	Fixation L	5	163346052520	163346360270	307750	364.8136	140.6004	50	44	11.58	11.58
27	right	stimulus_10879	10879	stimulus_10879	10879	Fixation R	5	163346052520	163346360270	307750	364.8136	140.6004	50	44	11.21	11.21
27	left	stimulus_10879	10879	stimulus_10879	10879	Fixation L	6	163346369585	163346718998	349413	458.7289	142.5212	69	16	11.45	11.45
27	right	stimulus_10879	10879	stimulus_10879	10879	Fixation R	6	163346369585	163346718998	349413	458.7289	142.5212	69	16	11.09	11.09
27	left	stimulus_10879	10879	stimulus_10879	10879	Fixation L	7	163346735759	163346886010	150251	455.5623	103.5595	57	33	11.15	11.15
27	right	stimulus_10879	10879	stimulus_10879	10879	Fixation R	7	163346735759	163346886010	150251	455.5623	103.5595	57	33	10.75	10.75
27	left	stimulus_10879	10879	stimulus_10879	10879	Fixation L	8	163346902409	163347285958	383549	399.9143	96.292	63	34	11.19	11.19
27	right	stimulus_10879	10879	stimulus_10879	10879	Fixation R	8	163346902409	163347285958	383549	399.9143	96.292	63	34	10.62	10.62
27	left	stimulus_10879	10879	stimulus_10879	10879	Fixation L	9	163347518954	163347960856	441902	463.4319	-43.5011	33	64	12.25	12.25
27	right	stimulus_10879	10879	stimulus_10879	10879	Fixation R	9	163347518954	163347960856	441902	463.4319	-43.5011	33	64	11.51	11.51
27	left	stimulus_10879	10879	stimulus_10879	10879	Fixation L	10	163348069069	163348369176	300107	571.4437	33.7529	20	58	12.40	12.40
27	right	stimulus_10879	10879	stimulus_10879	10879	Fixation R	10	163348069069	163348369176	300107	571.4437	33.7529	20	58	11.73	11.73
27	left	stimulus_10879	10879	stimulus_10879	10879	Fixation L	11	163348385894	163348802270	416376	658.8221	60.7728	67	7	12.54	12.54
27	right	stimulus_10879	10879	stimulus_10879	10879	Fixation R	11	163348385894	163348802270	416376	658.8221	60.7728	67	7	11.85	11.85
27	left	stimulus_10879	10879	stimulus_10879	10879	Fixation L	12	163348835631	163349268961	433330	401.69	136.7367	61	21	12.95	12.95
27	right	stimulus_10879	10879	stimulus_10879	10879	Fixation R	12	163348835631	163349268961	433330	401.69	136.7367	61	21	11.99	11.99
27	left	stimulus_10879	10879	stimulus_10879	10879	Fixation L	13	163349285836	163349518825	232989	582.5366	146.1524	90	5	12.84	12.84
27	right	stimulus_10879	10879	stimulus_10879	10879	Fixation R	13	163349285836	163349518825	232989	582.5366	146.1524	90	5	11.98	11.98
27	left	stimulus_10879	10879	stimulus_10879	10879	Fixation L	14	163349535636	163349959153	423517	634.0234	141.2821	40	17	12.98	12.98
27	right	stimulus_10879	10879	stimulus_10879	10879	Fixation R	14	163349535636	163349959153	423517	634.0234	141.2821	40	17	12.13	12.13
