rails_session_id	eye	start_event_name	start_event_stimulus_id	stop_event_name	stop_event_stimulus_id	event type	number	start	end	duration	location X	location Y	dispersion X	dispersion Y	avg. pupil size X	avg. pupil size Y
25	left	stimulus_survey	0	stimulus_6474	6474	Fixation L	1	99754032240	99754132796	100556	672.7446	253.8461	15	77	10.77	10.77
25	right	stimulus_survey	0	stimulus_6474	6474	Fixation R	1	99754032240	99754132796	100556	672.7446	253.8461	15	77	11.05	11.05
25	left	stimulus_6474	6474	stimulus_6474	6474	Fixation L	2	99754155710	99754298858	143148	655.4858	109.34	7	10	10.84	10.84
25	right	stimulus_6474	6474	stimulus_6474	6474	Fixation R	2	99754155710	99754298858	143148	655.4858	109.34	7	10	11.13	11.13
25	left	stimulus_6474	6474	stimulus_6474	6474	Fixation L	3	99754332206	99754698807	366601	420.3613	101.2884	63	15	10.75	10.75
25	right	stimulus_6474	6474	stimulus_6474	6474	Fixation R	3	99754332206	99754698807	366601	420.3613	101.2884	63	15	10.88	10.88
25	left	stimulus_6474	6474	stimulus_6474	6474	Fixation L	4	99754798804	99755465693	666889	396.1833	35.5389	78	21	10.70	10.70
25	right	stimulus_6474	6474	stimulus_6474	6474	Fixation R	4	99754798804	99755465693	666889	396.1833	35.5389	78	21	10.80	10.80
25	left	stimulus_6474	6474	stimulus_6474	6474	Fixation L	5	99755482242	99755715400	233158	488.7506	36.9631	84	15	10.65	10.65
25	right	stimulus_6474	6474	stimulus_6474	6474	Fixation R	5	99755482242	99755715400	233158	488.7506	36.9631	84	15	10.95	10.95
25	left	stimulus_6474	6474	stimulus_6474	6474	Fixation L	6	99755732040	99756098806	366766	491.4093	14.7446	47	51	11.07	11.07
25	right	stimulus_6474	6474	stimulus_6474	6474	Fixation R	6	99755732040	99756098806	366766	491.4093	14.7446	47	51	11.45	11.45
25	left	stimulus_6474	6474	stimulus_6474	6474	Fixation L	7	99756115491	99756282281	166790	566.6615	17.8252	14	30	11.32	11.32
25	right	stimulus_6474	6474	stimulus_6474	6474	Fixation R	7	99756115491	99756282281	166790	566.6615	17.8252	14	30	11.85	11.85
25	left	stimulus_6474	6474	stimulus_6474	6474	Fixation L	8	99756298823	99756715369	416546	683.2365	42.7975	56	34	11.39	11.39
25	right	stimulus_6474	6474	stimulus_6474	6474	Fixation R	8	99756298823	99756715369	416546	683.2365	42.7975	56	34	12.03	12.03
25	left	stimulus_6474	6474	stimulus_6474	6474	Fixation L	9	99756732057	99756948807	216750	728.8085	63.1424	25	8	11.27	11.27
25	right	stimulus_6474	6474	stimulus_6474	6474	Fixation R	9	99756732057	99756948807	216750	728.8085	63.1424	25	8	11.91	11.91
25	left	stimulus_6474	6474	stimulus_6474	6474	Fixation L	10	99756965554	99757232046	266492	851.2447	77.6572	37	37	10.99	10.99
