rails_session_id	eye	start_event_name	start_event_stimulus_id	stop_event_name	stop_event_stimulus_id	event type	number	start	end	duration	location X	location Y	dispersion X	dispersion Y	avg. pupil size X	avg. pupil size Y
4	left	stimulus_survey	0	stimulus_10879	10879	Fixation L	1	355365657801	355365741054	83253	644.9486	204.2324	10	6	8.76	8.76
4	right	stimulus_survey	0	stimulus_10879	10879	Fixation R	1	355365657801	355365741054	83253	644.9486	204.2324	10	6	9.04	9.04
4	left	stimulus_10879	10879	stimulus_10879	10879	Fixation L	2	355365757870	355366057631	299761	656.2211	112.5755	8	17	8.81	8.81
4	right	stimulus_10879	10879	stimulus_10879	10879	Fixation R	2	355365757870	355366057631	299761	656.2211	112.5755	8	17	9.05	9.05
4	left	stimulus_10879	10879	stimulus_10879	10879	Fixation L	3	355366090990	355366541016	450026	396.5944	104.002	49	40	8.82	8.82
4	right	stimulus_10879	10879	stimulus_10879	10879	Fixation R	3	355366090990	355366541016	450026	396.5944	104.002	49	40	8.97	8.97
4	left	stimulus_10879	10879	stimulus_10879	10879	Fixation L	4	355366557618	355367341271	783653	391.0493	37.1723	70	26	8.81	8.81
4	right	stimulus_10879	10879	stimulus_10879	10879	Fixation R	4	355366557618	355367341271	783653	391.0493	37.1723	70	26	9.07	9.07
4	left	stimulus_10879	10879	stimulus_10879	10879	Fixation L	5	355367357643	355368307741	950098	484.3511	42.5471	75	22	8.95	8.95
4	right	stimulus_10879	10879	stimulus_10879	10879	Fixation R	5	355367357643	355368307741	950098	484.3511	42.5471	75	22	9.29	9.29
4	left	stimulus_10879	10879	stimulus_10879	10879	Fixation L	6	355368324407	355368657510	333103	535.5965	30.5729	84	14	8.80	8.80
4	right	stimulus_10879	10879	stimulus_10879	10879	Fixation R	6	355368324407	355368657510	333103	535.5965	30.5729	84	14	9.28	9.28
4	left	stimulus_10879	10879	stimulus_10879	10879	Fixation L	7	355368674186	355368857486	183300	627.1407	45.2052	83	12	8.84	8.84
4	right	stimulus_10879	10879	stimulus_10879	10879	Fixation R	7	355368674186	355368857486	183300	627.1407	45.2052	83	12	9.36	9.36
4	left	stimulus_10879	10879	stimulus_10879	10879	Fixation L	8	355368874210	355369124408	250198	678.172	37.7706	13	11	8.81	8.81
4	right	stimulus_10879	10879	stimulus_10879	10879	Fixation R	8	355368874210	355369124408	250198	678.172	37.7706	13	11	9.32	9.32
4	left	stimulus_10879	10879	stimulus_10879	10879	Fixation L	9	355369174221	355369607584	433363	363.4689	93.0667	29	68	8.83	8.83
4	right	stimulus_10879	10879	stimulus_10879	10879	Fixation R	9	355369174221	355369607584	433363	363.4689	93.0667	29	68	9.18	9.18
4	left	stimulus_10879	10879	stimulus_10879	10879	Fixation L	10	355369624312	355370274081	649769	389.114	115.3539	83	14	8.70	8.70
4	right	stimulus_10879	10879	stimulus_10879	10879	Fixation R	10	355369624312	355370274081	649769	389.114	115.3539	83	14	9.04	9.04
4	left	stimulus_10879	10879	stimulus_10879	10879	Fixation L	11	355370290720	355370907563	616843	480.2513	103.7268	79	20	8.85	8.85
4	right	stimulus_10879	10879	stimulus_10879	10879	Fixation R	11	355370290720	355370907563	616843	480.2513	103.7268	79	20	9.10	9.10
4	left	stimulus_10879	10879	stimulus_10879	10879	Fixation L	12	355370924283	355371490733	566450	539.7772	93.6563	80	17	8.74	8.74
4	right	stimulus_10879	10879	stimulus_10879	10879	Fixation R	12	355370924283	355371490733	566450	539.7772	93.6563	80	17	9.03	9.03
4	left	stimulus_10879	10879	stimulus_10879	10879	Fixation L	13	355371507469	355372273947	766478	605.4345	96.3424	65	34	8.72	8.72
4	right	stimulus_10879	10879	stimulus_10879	10879	Fixation R	13	355371507469	355372273947	766478	605.4345	96.3424	65	34	9.12	9.12
4	left	stimulus_10879	10879	stimulus_10879	10879	Fixation L	14	355372290731	355372990619	699888	681.1246	115.3428	74	22	8.82	8.82
4	right	stimulus_10879	10879	stimulus_10879	10879	Fixation R	14	355372290731	355372990619	699888	681.1246	115.3428	74	22	9.10	9.10
