user_id, 01, 02, 03, 04, 06, 07, 09, 10, 13, 14, 23, 29
01, 0.0, 0.250861293, 0.22056436, 0.367302933, 0.304404676, 0.125802423, 0.136291537, 0.09168012, 0.215666568, 0.063239696, 0.091491942, 0.102913837
02, 0.250861293, 0.0, 0.078132348, 0.513165613, 0.438909188, 0.337607593, 0.309869922, 0.191428402, 0.394228958, 0.243109743, 0.178687949, 0.185741478
03, 0.22056436, 0.078132348, 0.0, 0.499827784, 0.430612245, 0.335793686, 0.3066313, 0.190497738, 0.378129713, 0.214627995, 0.16368995, 0.176556777
04, 0.367302933, 0.513165613, 0.499827784, 0.0, 0.111407249, 0.34582866, 0.260461618, 0.377676099, 0.179309336, 0.354171764, 0.372591068, 0.415026516
06, 0.304404676, 0.438909188, 0.430612245, 0.111407249, 0.0, 0.270437655, 0.191685162, 0.317365408, 0.116366547, 0.266504963, 0.304558605, 0.332679226
07, 0.125802423, 0.337607593, 0.335793686, 0.34582866, 0.270437655, 0.0, 0.10162371, 0.183584861, 0.185719143, 0.158438359, 0.182180586, 0.194562663
09, 0.136291537, 0.309869922, 0.3066313, 0.260461618, 0.191685162, 0.10162371, 0.0, 0.16617257, 0.10464451, 0.145076894, 0.163277336, 0.202223064
10, 0.09168012, 0.191428402, 0.190497738, 0.377676099, 0.317365408, 0.183584861, 0.16617257, 0.0, 0.240723982, 0.102934995, 0.056118999, 0.065503124
13, 0.215666568, 0.394228958, 0.378129713, 0.179309336, 0.116366547, 0.185719143, 0.10464451, 0.240723982, 0.0, 0.212986178, 0.237006987, 0.274595992
14, 0.063239696, 0.243109743, 0.214627995, 0.354171764, 0.266504963, 0.158438359, 0.145076894, 0.102934995, 0.212986178, 0.0, 0.107468124, 0.080946376
23, 0.091491942, 0.178687949, 0.16368995, 0.372591068, 0.304558605, 0.182180586, 0.163277336, 0.056118999, 0.237006987, 0.107468124, 0.0, 0.057260747
29, 0.102913837, 0.185741478, 0.176556777, 0.415026516, 0.332679226, 0.194562663, 0.202223064, 0.065503124, 0.274595992, 0.080946376, 0.057260747, 0.0
