rails_session_id	eye	start_event_name	start_event_stimulus_id	stop_event_name	stop_event_stimulus_id	event type	number	start	end	duration	location X	location Y	dispersion X	dispersion Y	avg. pupil size X	avg. pupil size Y
1	right	stimulus_3819	3819	stimulus_3819	3819	Fixation	R	1	20099843735	20100160012	316277	592.6236129323308	246.01612571428572	24.365493160195097	24.365493160195097	3.166507894736842	3.166507894736842
1	right	stimulus_3819	3819	stimulus_3819	3819	Fixation	R	2	20100793567	20100926683	133116	412.03253555555557	169.82885682539683	20.496021944974053	20.496021944974053	3.0279499999999997	3.0279499999999997
1	right	stimulus_3819	3819	stimulus_3819	3819	Fixation	R	3	20100960017	20101078202	118185	405.7453375	129.28956678571427	17.07359454811273	17.07359454811273	3.0126125000000004	3.0126125000000004
1	right	stimulus_3819	3819	stimulus_3819	3819	Fixation	R	4	20104410195	20104577685	167490	490.10789342857146	98.38772800000001	21.50442886399617	21.50442886399617	3.0904750000000005	3.0904750000000005
1	right	stimulus_3819	3819	stimulus_3819	3819	Fixation	R	5	20105359832	20105459780	99948	562.162598367347	98.01735306122448	12.891916313413553	12.891916313413553	3.1902714285714286	3.1902714285714286
1	right	stimulus_3819	3819	stimulus_3819	3819	Fixation	R	6	20105493654	20105659776	166122	684.4421337662338	119.26926727272728	26.574809015099756	26.574809015099756	3.140395454545455	3.140395454545455
1	right	stimulus_3819	3819	stimulus_3819	3819	Fixation	R	7	20105694382	20106078440	384058	689.7784958333333	116.30689904761905	22.800974838049424	22.800974838049424	3.1321083333333326	3.1321083333333326
1	right	stimulus_3819	3819	stimulus_3819	3819	Fixation	R	8	20106110004	20106659788	549784	621.5303573809524	96.44326029761905	25.532358935622025	25.532358935622025	3.1398635416666667	3.1398635416666667
1	right	stimulus_3819	3819	stimulus_3819	3819	Fixation	R	9	20106693081	20106881545	188464	665.7741385714286	96.3185117142857	18.987832111524348	18.987832111524348	3.166035	3.166035
1	right	stimulus_3819	3819	stimulus_3819	3819	Fixation	R	10	20106909839	20107193285	283446	688.1058455462185	102.0120524369748	24.525556207313798	24.525556207313798	3.2107352941176477	3.2107352941176477
1	right	stimulus_3819	3819	stimulus_3819	3819	Fixation	R	11	20107226414	20107843017	616603	693.8796793984963	115.10597774436091	20.21602335804268	20.21602335804268	3.227001315789473	3.227001315789473
1	right	stimulus_3819	3819	stimulus_3819	3819	Fixation	R	12	20107876469	20108309701	433232	701.0968960846561	127.62920624338625	15.037669959470787	15.037669959470787	3.247809259259259	3.247809259259259
1	right	stimulus_3819	3819	stimulus_3819	3819	Fixation	R	13	20108342997	20108659648	316651	770.397148	107.13400485714286	25.122962948284506	25.122962948284506	3.2260575000000005	3.2260575000000005
1	right	stimulus_3819	3819	stimulus_3819	3819	Fixation	R	14	20108693046	20109009680	316634	831.1602704285715	110.840948	22.18608867595656	22.18608867595656	3.1907725	3.1907725
1	right	stimulus_3819	3819	stimulus_3819	3819	Fixation	R	15	20109059655	20109409713	350058	821.8458406493506	101.45315662337663	25.458270862476105	25.458270862476105	3.155068181818182	3.155068181818182
1	right	stimulus_3819	3819	stimulus_3819	3819	Fixation	R	16	20109442852	20109881585	438733	855.7139378835979	124.70736952380953	28.41079694327735	28.41079694327735	3.1414851851851857	3.1414851851851857
1	right	stimulus_3819	3819	stimulus_3819	3819	Fixation	R	17	20109909796	20110093040	183244	899.5423023809524	142.71725571428573	19.787274804875167	19.787274804875167	3.1412333333333335	3.1412333333333335
1	right	stimulus_3819	3819	stimulus_3819	3819	Fixation	R	18	20110126296	20110326148	199852	911.5189595604396	162.35986065934065	17.107342029527356	17.107342029527356	3.1324923076923077	3.1324923076923077
1	right	stimulus_3819	3819	stimulus_3819	3819	Fixation	R	19	20110392945	20110509755	116810	910.6019960714285	140.35570892857143	16.600821111603288	16.600821111603288	3.1803374999999994	3.1803374999999994
1	right	stimulus_3819	3819	stimulus_3819	3819	Fixation	R	20	20110626181	20110942868	316687	351.0225402857143	111.7653882857143	10.880767489566072	10.880767489566072	3.2451999999999996	3.2451999999999996
1	right	stimulus_3819	3819	stimulus_3819	3819	Fixation	R	21	20110992841	20111582253	589412	375.02515904761907	128.7299361904762	17.59881105132813	17.59881105132813	3.1891347222222226	3.1891347222222226
1	right	stimulus_3819	3819	stimulus_3819	3819	Fixation	R	22	20111609795	20112226129	616334	396.4786685714286	101.29820065934067	22.955175102831305	22.955175102831305	3.206169230769231	3.206169230769231
1	right	stimulus_3819	3819	stimulus_3819	3819	Fixation	R	23	20112259394	20112577524	318130	415.37264071428575	110.28284342857143	24.908749575678904	24.908749575678904	3.19948	3.19948
1	right	stimulus_3819	3819	stimulus_3819	3819	Fixation	R	24	20112609426	20112709540	100114	440.6448114285714	116.16305836734695	33.03896944321406	33.03896944321406	3.22285	3.22285
1	right	stimulus_3819	3819	stimulus_3819	3819	Fixation	R	25	20112742716	20113609459	866743	382.12955642857145	102.17233404761905	15.496185070037722	15.496185070037722	3.271316666666666	3.271316666666666
1	right	stimulus_3819	3819	stimulus_3819	3819	Fixation	R	26	20113692706	20113792701	99995	443.9737767346939	165.50677836734695	26.141521255992508	26.141521255992508	3.2620357142857137	3.2620357142857137
1	right	stimulus_3819	3819	stimulus_3819	3819	Fixation	R	27	20113826033	20113981967	155934	447.0062002857143	160.33474085714286	16.43092895377042	16.43092895377042	3.2554300000000005	3.2554300000000005
1	right	stimulus_3819	3819	stimulus_3819	3819	Fixation	R	28	20114009454	20114259401	249947	514.5234064761905	126.98323904761905	18.615625628586344	18.615625628586344	3.20303	3.20303
1	right	stimulus_3819	3819	stimulus_3819	3819	Fixation	R	29	20114292686	20114542587	249901	512.1643869642858	145.54413071428573	14.031365458584954	14.031365458584954	3.1721843749999996	3.1721843749999996
1	right	stimulus_3819	3819	stimulus_3819	3819	Fixation	R	30	20114578802	20114676290	97488	598.9028542857143	158.6719081632653	16.188357255880145	16.188357255880145	3.16325	3.16325
1	right	stimulus_3819	3819	stimulus_3819	3819	Fixation	R	31	20116742478	20116942559	200081	498.5589474725275	113.13120945054946	23.52171952239985	23.52171952239985	3.311442857142857	3.311442857142857
