rails_session_id	eye	start_event_name	start_event_stimulus_id	stop_event_name	stop_event_stimulus_id	event type	number	start	end	duration	location X	location Y	dispersion X	dispersion Y	avg. pupil size X	avg. pupil size Y
1	right	stimulus_5938	5938	stimulus_5938	5938	Fixation	R	1	348050578936	348050695656	116720	589.0686982142856	98.99962214285713	24.144468682044202	24.144468682044202	3.6212875	3.6212875
1	right	stimulus_5938	5938	stimulus_5938	5938	Fixation	R	2	348052528909	348052729140	200231	843.0381602857143	95.20605247619048	18.61568030511262	18.61568030511262	3.5056375	3.5056375
1	right	stimulus_5938	5938	stimulus_5938	5938	Fixation	R	3	348053012489	348053128855	116366	697.3451514285714	91.54350380952381	18.872509243587235	18.872509243587235	3.587377777777777	3.587377777777777
1	right	stimulus_5938	5938	stimulus_5938	5938	Fixation	R	4	348053462163	348053612411	150248	604.4037411428571	143.12760742857142	18.23673239956654	18.23673239956654	3.6411050000000005	3.6411050000000005
1	right	stimulus_5938	5938	stimulus_5938	5938	Fixation	R	5	348055643285	348055793620	150335	351.5499045714286	139.34617628571428	24.054846773116793	24.054846773116793	3.81625	3.81625
1	right	stimulus_5938	5938	stimulus_5938	5938	Fixation	R	6	348055826592	348055926632	100040	382.7369412244898	148.03746816326532	22.7608825134212	22.7608825134212	3.7038357142857143	3.7038357142857143
1	right	stimulus_5938	5938	stimulus_5938	5938	Fixation	R	7	348055959987	348056110132	150145	426.0787971428572	162.701488	18.26074098866488	18.26074098866488	3.630175	3.630175
1	right	stimulus_5938	5938	stimulus_5938	5938	Fixation	R	8	348056143172	348056393247	250075	481.3150305357143	176.69452660714285	16.620322783360724	16.620322783360724	3.6135187500000003	3.6135187500000003
1	right	stimulus_5938	5938	stimulus_5938	5938	Fixation	R	9	348056426616	348056609952	183336	514.0809997619048	189.89859285714286	21.23249626565059	21.23249626565059	3.5832374999999996	3.5832374999999996
1	right	stimulus_5938	5938	stimulus_5938	5938	Fixation	R	10	348056643178	348056859772	216594	534.9691728571429	205.6020581632653	13.428264478124193	13.428264478124193	3.540439285714286	3.540439285714286
1	right	stimulus_5938	5938	stimulus_5938	5938	Fixation	R	11	348056893242	348057159760	266518	591.9103956302521	204.07932470588236	17.419245174758224	17.419245174758224	3.5548411764705876	3.5548411764705876
1	right	stimulus_5938	5938	stimulus_5938	5938	Fixation	R	12	348057193298	348057376429	183131	628.994524047619	190.58847571428572	20.037232768287733	20.037232768287733	3.5964916666666666	3.5964916666666666
1	right	stimulus_5938	5938	stimulus_5938	5938	Fixation	R	13	348057409980	348057776420	366440	659.2675332919255	198.11382211180126	16.17970740034387	16.17970740034387	3.551521739130435	3.551521739130435
1	right	stimulus_5938	5938	stimulus_5938	5938	Fixation	R	14	348057809850	348057926487	116637	709.2978364285714	200.96266964285715	26.985530101083235	26.985530101083235	3.5201999999999996	3.5201999999999996
1	right	stimulus_5938	5938	stimulus_5938	5938	Fixation	R	15	348057959795	348058176440	216645	720.6465787755102	202.34539632653062	17.632521851320977	17.632521851320977	3.5079035714285713	3.5079035714285713
1	right	stimulus_5938	5938	stimulus_5938	5938	Fixation	R	16	348058209852	348058493200	283348	731.0796296825397	189.5005215873016	18.83076823108772	18.83076823108772	3.4992777777777784	3.4992777777777784
1	right	stimulus_5938	5938	stimulus_5938	5938	Fixation	R	17	348058526606	348058693537	166931	771.371292987013	192.3986638961039	16.470687299566563	16.470687299566563	3.539631818181818	3.539631818181818
1	right	stimulus_5938	5938	stimulus_5938	5938	Fixation	R	18	348058726517	348058893155	166638	808.2207685714286	179.32020987012987	13.669644523694009	13.669644523694009	3.5677681818181823	3.5677681818181823
1	right	stimulus_5938	5938	stimulus_5938	5938	Fixation	R	19	348058926511	348059026522	100011	877.2852473469388	185.4679681632653	24.550867500815947	24.550867500815947	3.5544785714285716	3.5544785714285716
1	right	stimulus_5938	5938	stimulus_5938	5938	Fixation	R	20	348059076433	348059176448	100015	897.6430685714287	184.62407265306123	25.3564243044553	25.3564243044553	3.52385	3.52385
1	right	stimulus_5938	5938	stimulus_5938	5938	Fixation	R	21	348059209820	348059459661	249841	932.8583657142858	187.04310892857143	20.759461058292146	20.759461058292146	3.4905375	3.4905375
1	right	stimulus_5938	5938	stimulus_5938	5938	Fixation	R	22	348059493169	348059593173	100004	964.0463338775511	167.83147591836735	19.820581700781055	19.820581700781055	3.5497928571428576	3.5497928571428576
1	right	stimulus_5938	5938	stimulus_5938	5938	Fixation	R	23	348059726484	348060059654	333170	377.16453278911564	214.71418653061224	17.931480352466128	17.931480352466128	3.688221428571429	3.688221428571429
1	right	stimulus_5938	5938	stimulus_5938	5938	Fixation	R	24	348060094599	348060426870	332271	402.2752055782313	205.904597414966	21.08453678731969	21.08453678731969	3.654364285714286	3.654364285714286
1	right	stimulus_5938	5938	stimulus_5938	5938	Fixation	R	25	348060459668	348060626384	166716	379.67593246753245	196.47371454545456	16.600060517778243	16.600060517778243	3.623727272727274	3.623727272727274
1	right	stimulus_5938	5938	stimulus_5938	5938	Fixation	R	26	348060659640	348060826364	166724	376.5619566233766	197.47889922077923	21.705983677463838	21.705983677463838	3.60595	3.60595
1	right	stimulus_5938	5938	stimulus_5938	5938	Fixation	R	27	348060859652	348061076290	216638	394.66847326530615	212.46560346938776	14.941116796582149	14.941116796582149	3.523542857142857	3.523542857142857
1	right	stimulus_5938	5938	stimulus_5938	5938	Fixation	R	28	348061109879	348061342937	233058	445.23628323809527	201.69536476190478	16.36089256991294	16.36089256991294	3.5370433333333335	3.5370433333333335
