rails_session_id	eye	start_event_name	start_event_stimulus_id	stop_event_name	stop_event_stimulus_id	event type	number	start	end	duration	location X	location Y	dispersion X	dispersion Y	avg. pupil size X	avg. pupil size Y
1	right	stimulus_11299	11299	stimulus_11299	11299	Fixation	R	1	426113181316	426113447859	266543	644.0817620952381	310.8746811428571	17.528351801489194	17.528351801489194	3.09398	3.09398
1	right	stimulus_11299	11299	stimulus_11299	11299	Fixation	R	2	426113947814	426114147799	199985	396.8704057142857	121.67315032967034	26.87344946094313	26.87344946094313	2.8292076923076923	2.8292076923076923
1	right	stimulus_11299	11299	stimulus_11299	11299	Fixation	R	3	426114264488	426114364473	99985	444.6068918367347	130.62537020408163	18.98332296585693	18.98332296585693	2.832085714285714	2.832085714285714
1	right	stimulus_11299	11299	stimulus_11299	11299	Fixation	R	4	426114402063	426114765633	363570	446.12827304347826	140.49273850931678	18.10363194660537	18.10363194660537	2.9019178260869567	2.9019178260869567
1	right	stimulus_11299	11299	stimulus_11299	11299	Fixation	R	5	426115099482	426115364483	265001	514.1491700840336	155.39183579831933	16.168903169182837	16.168903169182837	2.9203676470588236	2.9203676470588236
1	right	stimulus_11299	11299	stimulus_11299	11299	Fixation	R	6	426115564478	426115681457	116979	522.1935646428572	158.69426821428573	15.500818143911728	15.500818143911728	2.88931875	2.88931875
1	right	stimulus_11299	11299	stimulus_11299	11299	Fixation	R	7	426115714509	426116014735	300226	536.5172072180451	184.04410015037595	13.021484942241383	13.021484942241383	2.913007894736842	2.913007894736842
1	right	stimulus_11299	11299	stimulus_11299	11299	Fixation	R	8	426116097783	426116214656	116873	623.6871953571429	161.80397071428573	23.51833393176888	23.51833393176888	2.9667624999999997	2.9667624999999997
1	right	stimulus_11299	11299	stimulus_11299	11299	Fixation	R	9	426116431118	426116664348	233230	648.586548	109.98486876190476	19.041651895054287	19.041651895054287	3.0836466666666666	3.0836466666666666
1	right	stimulus_11299	11299	stimulus_11299	11299	Fixation	R	10	426116864317	426117031404	167087	630.0910698701299	124.22357012987014	20.546351651651158	20.546351651651158	3.096459090909091	3.096459090909091
1	right	stimulus_11299	11299	stimulus_11299	11299	Fixation	R	11	426117064324	426117380956	316632	648.8394238571428	157.7160132857143	18.53033741566444	18.53033741566444	3.0795325	3.0795325
1	right	stimulus_11299	11299	stimulus_11299	11299	Fixation	R	12	426117414573	426117631030	216457	712.2881795918368	158.0019787755102	26.199026100943264	26.199026100943264	3.0083464285714285	3.0083464285714285
1	right	stimulus_11299	11299	stimulus_11299	11299	Fixation	R	13	426117764341	426118131002	366661	395.11149503105594	177.62233273291926	25.767266069784252	25.767266069784252	3.026993478260869	3.026993478260869
1	right	stimulus_11299	11299	stimulus_11299	11299	Fixation	R	14	426118164354	426118397703	233349	371.52006571428575	186.78706876190478	17.79565851367206	17.79565851367206	3.007126666666666	3.007126666666666
1	right	stimulus_11299	11299	stimulus_11299	11299	Fixation	R	15	426118430996	426118697690	266694	409.72006420168066	186.35623915966386	18.678500619376347	18.678500619376347	2.909667647058823	2.909667647058823
1	right	stimulus_11299	11299	stimulus_11299	11299	Fixation	R	16	426118731025	426119031064	300039	453.2037221052632	204.8855169924812	21.702005848372544	21.702005848372544	2.9065684210526315	2.9065684210526315
1	right	stimulus_11299	11299	stimulus_11299	11299	Fixation	R	17	426119181166	426119380966	199800	552.3788643956044	174.37351758241758	18.322012955533353	18.322012955533353	3.008411538461538	3.008411538461538
